time,data
24.25,-83.6967392440452
24.275,-83.6967386139929
24.3,-83.6967379806607
24.325,-83.6967373441613
24.35,-83.6967367045299
24.375,-83.696736061894
24.4,-83.6967354163854
24.425,-83.6967347681244
24.45,-83.6967341171236
24.475,-83.6967334634884
24.5,-83.6967328072405
24.525,-83.6967321484981
24.55,-83.6967314873058
24.575,-83.6967308237992
24.6,-83.6967301580304
24.625,-83.6967294901539
24.65,-83.696728820243
24.675,-83.6967281484648
24.7,-83.6967274749186
24.725,-83.6967267997875
24.75,-83.6967261232536
24.775,-83.6967254454841
24.8,-83.6967247665369
24.825,-83.6967240865591
24.85,-83.6967234056226
24.875,-83.6967227238906
24.9,-83.6967220414585
24.925,-83.6967213585069
24.95,-83.6967206751559
24.975,-83.696719991604
25,-83.6967193079866
25.025,-83.6967186245114
25.05,-83.6967179413238
25.075,-83.6967172586373
25.1,-83.696716576601
25.125,-83.6967158954277
25.15,-83.6967152152687
25.175,-83.6967145363365
25.2,-83.6967138587828
25.225,-83.6967131828181
25.25,-83.696712508595
25.275,-83.6967118363209
25.3,-83.6967111661502
25.325,-83.6967104982891
25.35,-83.6967098328859
25.375,-83.6967091701464
25.4,-83.6967085102237
25.425,-83.6967078533242
25.45,-83.6967071996057
25.475,-83.6967065492731
25.5,-83.6967059024794
25.525,-83.6967052594195
25.55,-83.6967046202809
25.575,-83.6967039852363
25.6,-83.6967033543966
25.625,-83.696702727915
25.65,-83.6967021059032
25.675,-83.6967014885148
25.7,-83.6967008758688
25.725,-83.696700268121
25.75,-83.6966996654019
25.775,-83.6966990678716
25.8,-83.6966984756719
25.825,-83.6966978889689
25.85,-83.6966973079187
25.875,-83.6966967326908
25.9,-83.6966961634371
25.925,-83.6966956003174
25.95,-83.6966950435019
25.975,-83.6966944931569
26,-83.6966939494411
26.025,-83.6966934125059
26.05,-83.6966928824825
26.075,-83.6966923594821
26.1,-83.6966918436019
26.125,-83.6966913349366
26.15,-83.6966908335806
26.175,-83.6966903396229
26.2,-83.6966898531582
26.225,-83.6966893742698
26.25,-83.69668890304
26.275,-83.6966884395367
26.3,-83.6966879838471
26.325,-83.6966875360369
26.35,-83.6966870961763
26.375,-83.6966866643134
26.4,-83.6966862405065
26.425,-83.6966858247864
26.45,-83.6966854171887
26.475,-83.6966850177199
26.5,-83.6966846264004
26.525,-83.6966842432224
26.55,-83.6966838681941
26.575,-83.696683501294
26.6,-83.6966831425157
26.625,-83.6966827918224
26.65,-83.69668244921
26.675,-83.6966821146283
26.7,-83.6966817880492
26.725,-83.6966814694047
26.75,-83.6966811586484
26.775,-83.6966808557005
26.8,-83.6966805604749
26.825,-83.6966802728858
26.85,-83.6966799928839
26.875,-83.696679720388
26.9,-83.6966794553474
26.925,-83.6966791976759
26.95,-83.6966789473142
26.975,-83.6966787041674
27,-83.6966784681664
27.025,-83.6966782392038
27.05,-83.6966780172045
27.075,-83.6966778020563
27.1,-83.6966775936841
27.125,-83.6966773919711
27.15,-83.696677196834
27.175,-83.6966770081519
27.2,-83.6966768258455
27.225,-83.6966766497895
27.25,-83.6966764798957
27.275,-83.6966763160372
27.3,-83.6966761581227
27.325,-83.6966760060256
27.35,-83.6966758596508
27.375,-83.6966757188727
27.4,-83.6966755835978
27.425,-83.6966754537064
27.45,-83.6966753291206
27.475,-83.6966752097239
27.5,-83.6966750954332
27.525,-83.6966749861331
27.55,-83.6966748817398
27.575,-83.6966747821428
27.6,-83.6966746872366
27.625,-83.6966745969251
27.65,-83.6966745111501
27.675,-83.6966744298258
27.7,-83.6966743528937
27.725,-83.6966742802665
27.75,-83.6966742118848
27.775,-83.696674147663
27.8,-83.6966740875488
27.825,-83.6966740314559
27.85,-83.6966739793266
27.875,-83.6966739310756
27.9,-83.6966738866456
27.925,-83.6966738459538
27.95,-83.6966738089432
27.975,-83.6966737755351
28,-83.6966737456747
28.025,-83.696673719288
28.05,-83.6966736963234
